No,Caso de Prueba,Precondiciones,Datos de la prueba,Pasos,Resultado esperado,Resultado obtenido,Estatus,Enlace al defecto
11,"Body: productsList vacío","1. Existe un kit válido en el sistema (ejemplo: id=6).
2. El usuario tiene acceso a la API mediante Postman.
3. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /api/v1/kits/6/products

Body:
{
  ""productsList"": []
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /api/v1/kits/{{kit_id_de_la_precondicion_1}}/products
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el mensaje devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
12,"Body vacío","1. Existe un kit válido en el sistema (ejemplo: id=6).
2. El usuario tiene acceso a la API mediante Postman.
3. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /api/v1/kits/6/products

Body:
{}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /api/v1/kits/{{kit_id_de_la_precondicion_1}}/products
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el mensaje devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
13,"Cálculo exitoso de entrega (valores medios)","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 12,
  ""productsCount"": 2,
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 200 OK
- isItPossibleToDeliver: true",,,
14,"deliveryTime en límite inferior permitido (ej. 8)","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 8,
  ""productsCount"": 2,
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 200 OK
- isItPossibleToDeliver: true",,,
15,"deliveryTime fuera de límite (ej. 7)","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 7,
  ""productsCount"": 2,
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 200 OK
- isItPossibleToDeliver: false",,,
16,"deliveryTime en límite superior permitido (ej. 20)","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 20,
  ""productsCount"": 2,
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 200 OK
- isItPossibleToDeliver: true",,,
17,"deliveryTime fuera de límite superior (ej. 21)","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 21,
  ""productsCount"": 2,
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 200 OK
- isItPossibleToDeliver: false",,,
18,"deliveryTime con tipo inválido (texto)","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": ""ocho"",
  ""productsCount"": 2,
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
19,"productsWeight excede máximo permitido (ej. 2.6)","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 12,
  ""productsCount"": 2,
  ""productsWeight"": 2.6
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 200 OK
- isItPossibleToDeliver: false",,,
20,"Omitir parámetro deliveryTime","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""productsCount"": 2,
  ""productsWeight"": 1
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
21,"Omitir parámetro productsWeight","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{
  ""deliveryTime"": 12,
  ""productsCount"": 2
}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
22,"Omitir todos los parámetros","1. El usuario tiene acceso a la API mediante Postman.
2. La variable {{base_url}} está configurada correctamente.","Método: POST
Endpoint: /order-and-go/v1/delivery

Body:
{}","1. Abrir Postman.
2. Agrega una solicitud nueva.
3. Seleccionar el método POST.
4. Ingresar la URL del servidor: {{base_url}}
5. Ingresa el endpoint: /order-and-go/v1/delivery
6. Ir a la pestaña Body -> raw -> JSON.
7. Introducir el cuerpo de la solicitud especificado en la columna ""Datos de la prueba"".
8. Hacer clic en Send.
9. Revisar el código de respuesta y el JSON devuelto por la API.","- Codigo de Respuesta: 400 Bad Request",,,
